airportName,country,airportCode
Goroka,Papua New Guinea,GKA
Madang,Papua New Guinea,MAG
Mount Hagen,Papua New Guinea,HGU
Nadzab,Papua New Guinea,LAE
Port Moresby,Papua New Guinea,POM
Wewak,Papua New Guinea,WWK
Narssarssuaq,Greenland,UAK
Godthaab,Greenland,GOH
Sondrestrom,Greenland,SFJ
Thule,Greenland,THU
Akureyri,Iceland,AEY
Egilsstadir,Iceland,EGS
Hofn,Iceland,HFN
Husavik,Iceland,HZK
Isafjordur,Iceland,IFJ
Keflavik,Iceland,KEF
Patreksfjordur,Iceland,PFJ
Reykjavik,Iceland,RKV
Siglufjordur,Iceland,SIJ
Vestmannaeyjar,Iceland,VEY
Sault Sainte Marie,Canada,YAM
Winnipeg,Canada,\N
Halifax,Canada,\N
St. Anthony,Canada,YAY
Tofino,Canada,YAZ
Pelly Bay,Canada,YBB
Baie Comeau,Canada,YBC
Bagotville,Canada,YBG
Baker Lake,Canada,YBK
Campbell River,Canada,YBL
Brandon,Canada,YBR
Cambridge Bay,Canada,YCB
Nanaimo,Canada,YCD
Castlegar,Canada,YCG
Chatham,Canada,YCH
Charlo,Canada,YCL
Coppermine,Canada,YCO
Coronation,Canada,YCT
Chilliwack,Canada,YCW
Clyde River,Canada,YCY
Coral Harbour,Canada,YZS
Dawson,Canada,YDA
Burwash,Canada,YDB
Princeton,Canada,\N
Deer Lake,Canada,YDF
Dease Lake,Canada,YDL
Dauphin,Canada,YDN
Dawson Creek,Canada,YDQ
Edmonton,Canada,YEG
Eskimo Point,Canada,YEK
Estevan,Canada,YEN
Edson,Canada,YET
Eureka,Canada,YEU
Inuvik,Canada,YEV
Iqaluit,Canada,YFB
Fredericton,Canada,YFC
Forestville,Canada,YFE
Flin Flon,Canada,YFO
Fort Resolution,Canada,YFR
Fort Simpson,Canada,YFS
Kingston,Canada,YGK
La Grande Riviere,Canada,YGL
Gaspe,Canada,YGP
Geraldton,Canada,YGQ
Iles De La Madeleine,Canada,YGR
Hudson Bay,Canada,YHB
Dryden,Canada,YHD
Holman Island,Canada,YHI
Gjoa Haven,Canada,YHK
Hamilton,Canada,YHM
Montreal,Canada,YHU
Hay River,Canada,YHY
Halifax,Canada,YHZ
Atikokan,Canada,YIB
Pond Inlet,Canada,YIO
St. Jean,Canada,YJN
Stephenville,Canada,YJT
Kamloops,Canada,YKA
Waterloo,Canada,YKF
Schefferville,Canada,YKL
Kindersley,Canada,YKY
Toronto,Canada,YKZ
Chapleau,Canada,YLD
Meadow Lake,Canada,YLJ
Lloydminster,Canada,YLL
Alert,Canada,YLT
Kelowna,Canada,YLW
Mayo,Canada,YMA
Moose Jaw,Canada,YMJ
